Tweet,Sentiment
"Two former Google engineers have built a car that's personalized for delivering your groceries, pizza or dry-cleani https://t.co/sBbz2D2Cic",neutral
Forget self-driving cars  these self-driving slippers are the future we deserve https://t.co/i56ft1F8a8 https://t.co/zv75avMUlw,neutral
"""Canadas largest oil company announced on Wednesday that they will be cutting about 400 heavy-equipment operator p https://t.co/mG9Pd8RP7U",neutral
Two ex-Google engineers built an entirely different kind of self-driving car https://t.co/xO4Z4GI8Rx https://t.co/7rQf7rBWQY,neutral
